City,All Offense Types,Crimes Against Person,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Kidnapping/Abduction,All Rape,Rape,Sodomy,Sexual Assault With An Object,Criminal Sexual Contact,Incest,Statutory Rape,Aggravated Assault,Simple Assault,Intimidation,"Human Trafficking, Commercial Sex Acts","Human Trafficking, Involuntary Servitude",Crimes Against Property,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,False Pretenses/Swindle/Confidence Game,Credit Card/Automatic Teller Fraud,Impersonation,Welfare Fraud,Wire Fraud,Identity Theft,Hacking/Computer Invasion,Robbery,Pocket-picking,Purse-snatching,Shoplifting,Theft From Building,Theft From Coin Operated Machine or Device,Theft From Motor Vehicle,Theft of Motor Vehicle Parts/Accessories,All Other Larceny,Motor Vehicle Theft,Stolen Property Offenses,Crimes Against Society,Drug/Narcotic Violations,Drug Equipment Violations,Betting/Wagering,Operating/Promoting/Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Pornography/Obscene Material,Prostitution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations,Animal Cruelty,Missing,Unnamed: 59,Year
North Attleborough,583,106,,,,1.0,4.0,4.0,,,,,,24,71,6,,,477,,,15,5.0,23,,,112,,,2.0,2.0,5.0,,2.0,,,165,,,23,,107,16,,,,,,,,,,,,,,,,,2024
Norton,126,80,,,,,8.0,8.0,,,4.0,,1.0,21,39,7,,,38,,,5,2.0,11,,,3,1.0,,,,,,2.0,,,,,,1,,8,3,2.0,8,5,,,,,,,,,,3.0,,,,2024
Raynham,398,110,,,,,4.0,2.0,2.0,,1.0,,4.0,33,52,16,,,270,,,10,7.0,25,1.0,,35,1.0,10.0,,,,,1.0,1.0,1.0,102,4,,5,,40,19,8.0,18,7,,,,,,1.0,3.0,,3.0,4.0,,,,2024
Rehoboth,165,40,,,,,,,,,1.0,1.0,,12,19,7,,,112,3.0,,10,5.0,25,,2.0,9,2.0,28.0,,,,,,,,,,,2,1.0,20,4,1.0,13,3,,,,,,,,,,10.0,,,,2024
Seekonk,600,99,,,,,5.0,4.0,1.0,,,,3.0,27,48,16,,,441,,,14,17.0,49,1.0,1.0,39,1.0,38.0,,,3.0,,1.0,1.0,1.0,150,7,,16,3.0,64,21,14.0,60,51,,,,,,1.0,,,,7.0,1.0,,,2024
Somerset,429,151,,,,2.0,5.0,5.0,,,10.0,,2.0,23,64,43,2.0,,232,1.0,,16,8.0,37,,,26,1.0,43.0,,,,,,,,26,3,,9,3.0,41,11,7.0,46,8,,,,,,6.0,29.0,1.0,,2.0,,,,2024
Stonehill College,22,6,,,,1.0,1.0,1.0,,,1.0,,,,3,,,,16,,,,,11,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2024
Swansea,398,114,,,,4.0,4.0,4.0,,,3.0,,2.0,17,63,21,,,261,,,11,5.0,48,,1.0,31,4.0,22.0,,,,,2.0,,,46,3,,3,,61,18,6.0,23,7,,,,,,8.0,,,,6.0,2.0,,,2024
Taunton,"1,809",709,1.0,,,4.0,12.0,9.0,3.0,,,,11.0,255,382,44,,,"1,002",,,74,19.0,232,,3.0,66,16.0,91.0,,,,,17.0,1.0,2.0,120,43,2.0,55,19.0,178,56,8.0,98,66,,,,,,5.0,3.0,,,21.0,3.0,,,2024
U-Mass Dartmouth,126,35,,,,,1.0,1.0,,,,,,2,11,21,,,80,1.0,,3,,31,,1.0,1,,,,,,,,,,,5,,3,1.0,34,,,11,8,,,,,,1.0,,,,2.0,,,,2024
